comment_start,endline,file,comment_outer_start,method,startline,comment,comment_outer_satd,body,comment_inner_satd
1,76,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,68,ChiSquaredDistributionImpl,72,"
     * Create a Chi-Squared distribution with the given degrees of freedom.
     * @param degreesOfFreedom degrees of freedom.
     ",,"{
    super();
    setGamma(DistributionFactory.newInstance().createGammaDistribution(degreesOfFreedom / 2.0, 2.0));
}",
1,84,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,78,setDegreesOfFreedom,82,"
     * Modify the degrees of freedom.
     * @param degreesOfFreedom the new degrees of freedom.
     ",,"{
    getGamma().setAlpha(degreesOfFreedom / 2.0);
}",
89,92,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,86,getDegreesOfFreedom,90,"
     * Access the degrees of freedom.
     * @return the degrees of freedom.
     ",,"{
    return getGamma().getAlpha() * 2.0;
}",
98,101,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,94,cummulativeProbability,99,"
     * For this disbution, X, this method returns P(X &lt; x).
     * @param x the value at which the CDF is evaluated.
     * @return CDF for this distribution. 
     ",,"{
    return getGamma().cummulativeProbability(x);
}",
98,114,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,103,getDomainLowerBound,112,"
     * Access the domain value lower bound, based on <code>p</code>, used to
     * bracket a CDF root.  This method is used by
     * {@link #inverseCummulativeProbability(double)} to find critical values.
     * 
     * @param p the desired probability for the critical value
     * @return domain value lower bound, i.e.
     *         P(X &lt; <i>lower bound</i>) &lt; <code>p</code> 
     ",,"{
    return Double.MIN_VALUE * getGamma().getBeta();
}",
118,140,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,116,getDomainUpperBound,125,"
     * Access the domain value upper bound, based on <code>p</code>, used to
     * bracket a CDF root.  This method is used by
     * {@link #inverseCummulativeProbability(double)} to find critical values.
     * 
     * @param p the desired probability for the critical value
     * @return domain value upper bound, i.e.
     *         P(X &lt; <i>upper bound</i>) &gt; <code>p</code> 
     ",,"{
    // NOTE: chi squared is skewed to the left
    // NOTE: therefore, P(X < &mu;) > .5
    double ret;
    if (p < .5) {
        // use mean
        ret = getDegreesOfFreedom();
    } else {
        // use max
        ret = Double.MAX_VALUE;
    }
    return ret;
}",
138,165,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,142,getInitialDomain,150,"
     * Access the initial domain value, based on <code>p</code>, used to
     * bracket a CDF root.  This method is used by
     * {@link #inverseCummulativeProbability(double)} to find critical values.
     * 
     * @param p the desired probability for the critical value
     * @return initial domain value
     ",,"{
    // NOTE: chi squared is skewed to the left
    // NOTE: therefore, P(X < &mu;) > .5
    double ret;
    if (p < .5) {
        // use 1/2 mean
        ret = getDegreesOfFreedom() * .5;
    } else {
        // use mean
        ret = getDegreesOfFreedom();
    }
    return ret;
}",
154,173,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,167,setGamma,171,"
     * Modify the Gamma distribution.
     * @param gamma the new distribution.
     ",,"{
    this.gamma = gamma;
}",
154,181,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,175,getGamma,179,"
     * Access the Gamma distribution.
     * @return the internal Gamma distribution.
     ",,"{
    return gamma;
}",
1,81,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,72,GammaDistributionImpl,77,"
     * Create a new gamma distribution with the given alpha and beta values.
     * @param alpha the shape parameter.
     * @param beta the scale parameter.
     ",,"{
    super();
    setAlpha(alpha);
    setBeta(beta);
}",
